"filename", "language", "Less", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "TypeScript React", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"d:\qsa2020\04_pc\myapp\src\pages\Bas\basOthers\supply.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"d:\qsa2020\04_pc\myapp\src\pages\Bas\brand\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 85
"d:\qsa2020\04_pc\myapp\src\pages\Bas\brand\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 2, 87
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custArea\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custArea\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 80
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custLevel\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custLevel\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 3, 89
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custType\form.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"d:\qsa2020\04_pc\myapp\src\pages\Bas\custType\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 3, 79
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\cusAddress.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 1, 3, 211
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\cusRecordForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 114
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\custDoc.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 2, 92
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\custDocForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 2, 92
"d:\qsa2020\04_pc\myapp\src\pages\Bas\customer\custFinanceForm.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 2, 168
